OBSNUM	XVAL	PROB_AVG	AREA1	AREACORR	AREATOT	PERCENT
252	1.26	0.0527027463043947	0.000263513731521973	0.00026495048302712	0.0264468732644175	3.15
253	1.265	0.0529900453866663	0.000264950226933332	0.000266386466250901	0.0267132597306684	3.1625
254	1.27	0.0532772393188181	0.00026638619659409	0.000267821896598039	0.0269810816272664	3.175
255	1.275	0.0535643226946818	0.000267821613473409	0.000269256747228098	0.0272503383744945	3.1875
256	1.28	0.0538512901460795	0.000269256450730397	0.000270690991489684	0.0275210293659842	3.2
257	1.285	0.0541381363426411	0.000270690681713205	0.000272124602919535	0.0277931539689037	3.2125
258	1.29	0.0544248559916239	0.00027212427995812	0.000273557555241619	0.0280667115241453	3.225
259	1.295	0.0547114438377319	0.000273557219188659	0.00027498982236624	0.0283417013465116	3.2375
260	1.3	0.0549978946629361	0.000274989473314681	0.000276421378389143	0.0286181227249007	3.25
261	1.305	0.055284203286296	0.00027642101643148	0.000277852197590617	0.0288959749224913	3.2625
262	1.31	0.0555703645637809	0.000277851822818904	0.000279282254434616	0.029175257176926	3.275
263	1.315	0.0558563733880928	0.000279281866940464	0.000280711523567872	0.0294559687004938	3.2875
264	1.32	0.0561422246884898	0.000280711123442449	0.000282139979819011	0.0297381086803128	3.3
265	1.325	0.0564279134306097	0.000282139567153048	0.000283567598197685	0.0300216762785105	3.3125
266	1.33	0.0567134346162948	0.000283567173081474	0.000284994353893689	0.0303066706324042	3.325
267	1.335	0.0569987832834177	0.000284993916417088	0.000286420222276102	0.0305930908546803	3.3375
268	1.34	0.0572839545057069	0.000286419772528535	0.000287845178892413	0.0308809360335727	3.35
269	1.345	0.057568943392574	0.00028784471696287	0.000289269199467662	0.0311702052330404	3.3625
270	1.35	0.0578537450889409	0.000289268725444705	0.000290692259903582	0.031460897492944	3.375
271	1.355	0.0581383547750685	0.000290691773875343	0.000292114336277742	0.0317530118292217	3.3875
272	1.36	0.0584227676663853	0.000292113838331926	0.000293535404842695	0.0320465472340644	3.4
273	1.365	0.0587069790133169	0.000293534895066585	0.000294955442025132	0.0323415026760895	3.4125
274	1.37	0.0589909841011168	0.000294954920505584	0.000296374424425035	0.0326378771005146	3.425
275	1.375	0.0592747782496969	0.000296373891248484	0.000297792328814834	0.0329356694293294	3.4375
276	1.38	0.0595583568134596	0.000297791784067298	0.000299209132138575	0.033234878561468	3.45
277	1.385	0.0598417151811299	0.00029920857590565	0.000300624811511076	0.0335355033729791	3.4625
